日付,曜日,現金,売掛,カード,売上計,担当小計,同伴小計,残り支給額,給率(%),スタッフ日払,キャスト日払,ボーナス,罰金,入金,出金,経費計,粗利
合計,,1034900,375600,4517000,5927500,4403500,1883000,1957566,47.20,90000,839997,150000,12000,,241224,3128787,2798713
2026-05-01,金,,,,,,,,,,,,,,,,
2026-05-02,土,31000,,69000,100000,80000,32500,57204,79.06,,21852,,,,,79056,20944
2026-05-03,日,,,,,,,,,,,,,,,,
2026-05-04,月,24600,,88800,113400,94500,20500,64275,56.68,,,,,,,64275,49125
2026-05-05,火,,,,,,,,,,,,,,,,
2026-05-06,水,,,,,,,,,,,,,,,,
2026-05-07,木,,,,,,,,,,,,,,,,
2026-05-08,金,,234600,366000,600600,500500,34000,88071,27.74,,84535,,,,88465,261071,339529
2026-05-09,土,36600,,86400,123000,72000,,56821,57.58,12000,8000,,,,,76821,46179
2026-05-10,日,,,,,,,,,,,,,,,,
2026-05-11,月,,,353400,353400,294500,294500,77741,31.12,6000,32223,,500,,4618,120582,232818
2026-05-12,火,126000,,284000,410000,276500,257000,119272,41.29,6000,50000,,1500,,,175272,234728
2026-05-13,水,44400,,63000,107400,89500,37000,51983,78.03,,31820,,,,,83803,23597
2026-05-14,木,150000,,198200,348200,275000,84000,128518,49.61,6000,44223,,,,1510,180251,167949
2026-05-15,金,,,218400,218400,182000,39000,94326,67.76,6000,53672,,500,,2282,156280,62120
2026-05-16,土,17400,,42600,60000,50000,35500,50508,84.18,,,,,,5364,55872,4128
2026-05-17,日,,,,,,,,,,,,,,,,
2026-05-18,月,,,325800,325800,271500,209000,89446,33.29,6000,19000,,500,,,114446,211354
2026-05-19,火,70500,,377800,448300,367000,143000,132730,38.31,6000,39000,,5000,,11815,189545,258755
2026-05-20,水,,,,,,,,,,,,,,,,
2026-05-21,木,33600,,86400,120000,70500,50500,71269,80.22,,25000,,,,88928,185197,-65197
2026-05-22,金,10000,,558600,568600,473500,69500,102493,33.21,6000,86364,,,,779,195636,372964
2026-05-23,土,24600,,92400,117000,97500,97500,76897,87.09,,25000,,,,,101897,15103
2026-05-24,日,,,,,,,,,,,,,,,,
2026-05-25,月,55200,,277800,333000,277500,176500,98767,39.57,6000,33000,,2500,,23282,161049,171951
2026-05-26,火,254400,,22800,277200,35000,19000,91202,52.83,6000,55255,,500,,,152457,124743
2026-05-27,水,78000,,326400,404400,337000,74500,118049,43.93,6000,59616,,,,1700,185365,219035
2026-05-28,木,46800,,366000,412800,344000,209500,91448,34.60,6000,51379,,,,,148827,263973
2026-05-29,金,30000,141000,83400,254400,94500,,69691,57.41,6000,76354,,500,,,152045,102355
2026-05-30,土,1800,,229800,231600,121000,,210694,109.84,6000,43704,150000,500,,12481,272879,-41279
2026-05-31,日,,,,,,,,,,,,,,,,
